Time,Signal
296,-0.565136746
296.25,-0.612231474
296.5,-0.706420932
296.75,-0.777063025
297,-0.706420932
297.25,-0.635778839
297.5,-0.612231474
297.75,-0.565136746
298,-0.565136746
298.25,-0.565136746
298.5,-0.58868411
298.75,-0.565136746
299,-0.565136746
299.25,-0.565136746
299.5,-0.58868411
299.75,-0.612231474
300,-0.706420932
300.25,-0.753515661
300.5,-0.635778839
300.75,-0.58868411
301,-0.565136746
301.25,-0.565136746
301.5,-0.58868411
301.75,-0.565136746
302,-0.565136746
302.25,-0.58868411
302.5,-0.565136746
302.75,-0.58868411
303,-0.565136746
303.25,-0.58868411
303.5,-0.565136746
303.75,-0.58868411
304,-0.58868411
304.25,-0.58868411
304.5,-0.565136746
304.75,-0.58868411
305,-0.58868411
305.25,-0.58868411
305.5,-0.58868411
305.75,-0.612231474
306,-0.58868411
306.25,-0.58868411
306.5,-0.612231474
306.75,-0.58868411
307,-0.58868411
307.25,-0.612231474
307.5,-0.612231474
307.75,-0.612231474
308,-0.612231474
308.25,-0.612231474
308.5,-0.612231474
308.75,-0.612231474
309,-0.635778839
309.25,-0.659326203
309.5,-0.682873568
309.75,-0.659326203
310,-0.659326203
310.25,-0.682873568
310.5,-0.659326203
310.75,-0.635778839
311,-0.659326203
311.25,-0.682873568
311.5,-0.682873568
311.75,-0.682873568
312,-0.659326203
312.25,-0.706420932
312.5,-0.706420932
312.75,-0.706420932
313,-0.706420932
313.25,-0.706420932
313.5,-0.706420932
313.75,-0.729968296
314,-0.729968296
314.25,-0.753515661
314.5,-0.777063025
314.75,-0.777063025
315,-0.753515661
315.25,-0.824157754
315.5,-0.824157754
315.75,-0.847705118
316,-0.824157754
316.25,-0.80061039
316.5,-0.871252483
316.75,-0.871252483
317,-0.871252483
317.25,-0.871252483
317.5,-0.847705118
317.75,-0.847705118
318,-0.871252483
318.25,-0.894799847
318.5,-0.96544194
318.75,-0.918347212
319,-0.894799847
319.25,-0.871252483
319.5,-0.894799847
319.75,-0.96544194
320,-1.106726127
320.25,-1.083178762
320.5,-0.894799847
320.75,-0.871252483
321,-0.941894576
321.25,-0.918347212
321.5,-0.894799847
321.75,-0.918347212
322,-0.918347212
322.25,-0.894799847
322.5,-0.988989305
322.75,-0.96544194
323,-1.059631398
323.25,-1.224462949
323.5,-1.130273491
323.75,-0.988989305
324,-0.988989305
324.25,-0.988989305
324.5,-0.988989305
324.75,-0.988989305
325,-0.96544194
325.25,-0.96544194
325.5,-0.988989305
325.75,-0.988989305
326,-0.96544194
326.25,-0.941894576
326.5,-0.941894576
326.75,-0.96544194
327,-0.988989305
327.25,-0.988989305
327.5,-1.012536669
327.75,-1.012536669
328,-1.012536669
328.25,-1.036084034
328.5,-1.036084034
328.75,-1.012536669
329,-1.036084034
329.25,-1.036084034
329.5,-1.036084034
329.75,-1.036084034
330,-1.036084034
330.25,-1.036084034
330.5,-1.036084034
330.75,-1.036084034
331,-1.036084034
331.25,-1.036084034
331.5,-1.036084034
331.75,-1.036084034
332,-1.036084034
332.25,-1.036084034
332.5,-1.036084034
332.75,-1.036084034
333,-1.036084034
333.25,-1.036084034
333.5,-1.036084034
333.75,-1.036084034
334,-1.036084034
334.25,-1.036084034
334.5,-1.036084034
334.75,-1.036084034
335,-1.036084034
335.25,-1.036084034
335.5,-1.059631398
335.75,-1.036084034
336,-1.036084034
336.25,-1.036084034
336.5,-1.036084034
336.75,-1.036084034
337,-1.036084034
337.25,-1.036084034
337.5,-1.036084034
337.75,-1.036084034
338,-1.036084034
338.25,-1.036084034
338.5,-1.059631398
338.75,-1.059631398
339,-1.036084034
339.25,-1.036084034
339.5,-1.036084034
339.75,-1.059631398
340,-1.059631398
340.25,-1.059631398
340.5,-1.036084034
340.75,-1.036084034
341,-1.036084034
341.25,-1.036084034
341.5,-1.036084034
341.75,-1.036084034
342,-1.036084034
342.25,-1.036084034
